Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
"Growth and phenology of Dittrichia graveolens, a rapidly spreading invasive plant in California",https://link.springer.com/article/10.1007/s10530-013-0501-4,"… compared plant growth and phenological development of fall, … Using a minirhizotron system, 
we measured root growth over … discretionally for coarse roots, and with fine root masses we …","RN Brownsey, GB Kyser, JM DiTomaso",Biological invasions,2014,12,roots AND phenology,
"Phenology, morphology, aboveground biomass and root-associated soil respiration of Arabidopsis thaliana down-regulated cell wall mutants of MYB75, KNAT7, and …",https://www.sciencedirect.com/science/article/pii/S0031405612001163,"… phenology, morphology and biomass may be indicators of CO 2 and N 2 O production in 
root-… lignin biosynthesis pathway have altered plant phenological and morphological traits. For …","S Gul, JK Whalen",Pedobiologia,2013,12,roots AND phenology,
"Phenology of perennial, native grass, belowground axillary buds in the northern mixed‐grass prairie",https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.1700132,"… The ability to predict belowground bud development is a … regarding belowground bud bank 
size and bud phenology are … relies on tiller recruitment from belowground bud banks. More …","ML Russell, LT Vermeire, AC Ganguli…",American journal of …,2017,12,belowground AND phenology,
The belowground growing season,https://www.nature.com/articles/s41558-021-01243-y,"… Of the 88 studies included in this meta-analysis, only 10 measured both above- and 
belowground phenology on the same plants or plant communities. And while the analysis also, for …",G Blume,Werry - Nature Climate Change,2022,12,belowground AND phenology,
"Diel patterns of fine root respiration in a dryland shrub, measured in situ over different phenological stages",https://link.springer.com/article/10.1007/s10310-015-0511-4,"… Therefore, we have confirmed that phenological phenomena, which may … belowground root 
systems. In future research, we will focus on the quantitative relationship between phenology …","Z Lai, S Lu, Y Zhang, B Wu, S Qin, W Feng…",Journal of Forest …,2016,12,belowground AND phenology,
"Differential population response of allocation, phenology, and tissue chemistry in Spartina alterniflora",https://link.springer.com/article/10.1007/s11258-011-9960-9,"… If traits such as seasonal translocation are plastic and can change with the length of the 
growing season, climate warming may alter belowground biomass production of S. alterniflora in …",T Elsey,"Quirk, DM Seliskar, JL Gallagher - Plant Ecology",2011,12,belowground AND phenology,
"… Communities of Posidonia oceanica (L.) Delile, Cymodocea nodosa (Ucria) Ascherson, Zostera marina L.: Plant Phenology, Biomass Partitioning, Elemental …",https://link.springer.com/chapter/10.1007/978-88-470-2105-1_37,"… Different plant compartments (above- vs below-ground) contributed … below-ground parts 
accounted for the highest biomass through the year, while in Z marina above- and below-ground …","P Guidetti, MC Buia, M Lorenti, MB Scipione…",Mediterranean …,2001,12,belowground AND phenology,
Patterns and drivers in spring and autumn phenology differ above-and belowground in four ecosystems under the same macroclimatic conditions,https://link.springer.com/article/10.1007/s11104-019-04300-w,"… phenology and measuring root phenology is … Root phenology is crucial for water and 
nutrient uptake and it may have different phenological controls than aboveground phenology (…","S Schwieger, G Blume","Werry, B Peters, M Smiljanić… - Plant and Soil",2019,11,roots AND phenology,
Waterlogging and soil freezing during dormancy affected root and shoot phenology and growth of Scots pine saplings,https://academic.oup.com/treephys/article-abstract/39/5/805/5308884,"… soil freezing during winter affect the physiology, phenology and growth of trees. Our aim was 
to … of root growth was delayed by 20 days compared with other treatments; after that, the root …","M Roitto, S Sutinen, A Wang, T Domisch…",Tree …,2019,11,roots AND phenology,
Growth establishment and phenology of four woody S aharan species,https://onlinelibrary.wiley.com/doi/abs/10.1111/aje.12036,"… In this context, the phenology, excavation of root systems and seedling establishment of 
these species were investigated in the southern Tunisia. Our data suggest that phenological …","S Derbel, M Chaieb",African journal of ecology,2013,11,roots AND phenology,
"Phenology of the 'Hass' avocado in the State of Mexico, Mexico",https://www.scielo.org.mx/scielo.php?pid=S1027-152X2021000200113&script=sci_arttext,"… to analyze, describe and quantify the phenological development of ‘Hass’ avocado in three 
environments in the State of Mexico. The vegetative, flowering, root and fruit development of ‘…",JC Reyes,"Alemán, J Mejía-Carranza… - Revista Chapingo …",2021,11,roots AND phenology,
Phenological escape and its importance for understory plant species in temperate forests,https://www.journals.uchicago.edu/doi/abs/10.1086/729439,"… In this primer, we review past literature on phenological escape and related topics. We … in 
phenological escape, (3) the potential for climate change to result in phenological mismatch …","BR Lee, AJ Yancy…",International Journal of …,2024,11,belowground AND phenology,
Asynchrony in shoot and root phenological relationships in hybrid walnut,https://link.springer.com/article/10.1007/s11056-019-09718-9,"… We focused on relating fine root phenology to leaf, trunk and structural root phenology. We 
… phenology reflects or differs from fine root phenology at different depths. Root phenological …","A Mohamed, Y Monnier, Z Mao, C Jourdan, S Sabatier…",New Forests,2020,10,roots AND phenology,
BERM: a Belowground Ecosystem Resiliency Model for estimating Spartina alterniflora belowground biomass,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.17607,"… phenological stages. Our modeling process accounts for spatiotemporal phenology, and 
aboveground vs belowground … and production capacity, phenology, and environmental stress. …","JL O'Connell, DR Mishra, M Alber, KB Byrd",New Phytologist,2021,10,belowground AND phenology,
Phenology of curlyleaf pondweed (Potamogeton crispus L.) in the southeastern United States: A two-year mesocosm study,https://www.researchgate.net/profile/John-Madsen-3/publication/342880779_Phenology_of_curlyleaf_pondweed_Potamogeton_crispus_in_the_Southeastern_US_a_two_year_mesocosm_study/links/613bcf334e1df271062ad49f/Phenology-of-curlyleaf-pondweed-Potamogeton-crispus-in-the-Southeastern-US-a-two-year-mesocosm-study.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,"… 2003), belowground biomass structures in … Belowground biomass had a significant positive 
correlation to water temperature and photoperiod (Table 1; Figure 2A). Mean belowground …","G Turnage, JD Madsen, RM Wersal",J. Aquat. Plant Manage,2018,10,belowground AND phenology,
Wintertime grassland dynamics may influence belowground biomass under climate change: a model analysis,https://bg.copernicus.org/articles/17/1071/2020/,"… High physiological activity levels during the extremely warm winter led to a simulated CO 2 
uptake of 100 gC m - 2 , which was mainly allocated into the belowground biomass and only …","G Katata, R Grote, M Mauder, MJ Zeeman…",…,2020,10,belowground AND phenology,
"Root growth phenology, anatomy, and morphology among root orders in Vaccinium macrocarpon Ait.",https://cdnsciencepub.com/doi/abs/10.1139/cjb-2020-0129,"… This study examines seasonal fine-root growth and its spatial distribution through the soil … 
traits of roots according to their branching order in Vaccinium macrocarpon Ait. Root production …","A Atucha, BA Workmaster, JL Bolivar",Medina - Botany,2021,9,roots AND phenology,
Warming nondormant tree roots advances aboveground spring phenology in temperate trees,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.19304,"… that root phenology might additionally play a role in determining aboveground phenology. … 
to compare the effect of root and air warming on phenology (vs only root warming as in 8). The …","AV Malyshev, G Blume‐Werry, O Spiller…",New …,2023,9,roots AND phenology,
Root and shoot phenology and root longevity of Norway spruce saplings grown at different soil temperatures,https://cdnsciencepub.com/doi/abs/10.1139/cjfr-2019-0190,"… root phenology of Norway spruce saplings was affected by soil temperature. In terms of 
direct effects, root … was actualised as a more evenly distributed root-growth pattern during the …","J Kilpeläinen, T Domisch, T Lehto…",Canadian Journal of …,2019,9,roots AND phenology,
Intra-annual variation of root-associated fungi of Pinus sylvestris var. Mongolica: the role of climate and implications for host phenology,https://www.sciencedirect.com/science/article/pii/S0929139322000968,"… and climate conditions and host phenology are less clear, … We sampled the roots of P. 
sylvestris of three age groups (27… were climate conditions and host phenology, which showed that …","P Zhao, G Gao, Y Ren, G Ding, Y Zhang, J Wang",Applied Soil Ecology,2022,9,roots AND phenology,
Impacts of bud set and lammas phenology on root: shoot biomass partitioning and carbon gain physiology in poplar,https://link.springer.com/article/10.1007/s00468-016-1439-9,"… We hypothesized that lammas growth would increase total biomass and modify root:shoot … 
root growth (following bud set). In assessing the effects of bud set and lammas phenology on …","AD McKown, RD Guy, LK Quamme",Trees,2016,9,roots AND phenology,
Separating the effects of temperature and carbon allocation on the diel pattern of soil respiration in the different phenological stages in dry grasslands,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223247,"… Our results suggest that belowground carbon allocation can influence the diel pattern of 
soil respiration in grasslands. Based on the observed time lags between GPP and soil …","J Balogh, S Fóti, M Papp, K Pintér, Z Nagy",PLoS One,2019,9,belowground AND phenology,
Phenology of fine root and shoot using high frequency temporal resolution images in a temperate larch forest,https://www.sciencedirect.com/science/article/pii/S2452219822000714,"… and root growth is still debatable. Less is known about soil temperature is associated with 
fine root phenology, because research on the root phenology, including timing of root initiation …","A Tamura, H Oguma, R Fujimoto, M Kuribayashi…",Rhizosphere,2022,8,roots AND phenology,
"Root and shoot phenology, architecture, and organ properties: an integrated trait network among 44 herbaceous wetland species",https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.19747,"… among 19 traits, spanning both shoot and root phenology, architecture, morphology, and 
tissue … size, root architecture and porosity, and a shoot–root coordination in phenology and dry‐…","Z Ye, Y Mu, S Van Duzen, P Ryser",New Phytologist,2024,8,roots AND phenology,
Linking tree-rooting profiles to leaf phenology: a first attempt on Tectona Grandis Linn F.,https://link.springer.com/article/10.1007/s00468-019-01876-9,"… Based on this original set of field data, we discussed the relations between rooting depth 
and tree phenology and discussed the possible role of deep roots as a factor explaining (or not) …","C Clément, A Pierret, JL Maeght, C Hartmann…",Trees,2019,8,roots AND phenology,
Relating the growth phenology and biomass allocation in seedlings of 13 Acadian tree species with their drought tolerance,https://www.frontiersin.org/articles/10.3389/ffgc.2022.784382/full,"… biomass allocation to root systems, which affects water uptake, and phenology of seasonal 
… to roots with drought tolerance. In fact, we report an initially higher shoot-to-root ratio in …","E Pearson, L D'Orangeville",Frontiers in Forests and Global Change,2022,8,roots AND phenology,
"Genetic yield gain between 1942 and 2013 and associated changes in phenology, yield components and root traits of Australian barley",https://link.springer.com/article/10.1007/s11104-022-05570-7,"… changes in phenology and yield components, and (ii) to probe for changes in root traits and 
… We mapped the growth of the root system using transparent film and drawing roots on the …","CM Cossani, J Palta, VO Sadras",Plant and Soil,2022,8,roots AND phenology,
"Leaf phenology rather than mycorrhizal type regulates soil nematode abundance, but collectively affects nematode diversity in seven common subtropical tree …",https://www.sciencedirect.com/science/article/pii/S2197562023000180,"… root traits, especially root N and C:N ratio, well explained the changes in the soil nematode 
abundance, but high-quality roots (eg, high root N and low root … the influence of root N and C:…","J Wang, J Mao, Y Tan, SK Lam, Q Guo, X Shi",Forest Ecosystems,2023,8,roots AND phenology,
Effects of competition on compensation point and phenological development in Sonchus arvensis L.,http://stud.epsilon.slu.se/4572,"… For given phenological stages, weight loss of below-ground structures did not differ between 
the C+ and C- plants, apart from the 5 leaf stage, at which the C+ plants had lost more in …",VJ Tavaziva - 2012 - stud.epsilon.slu.se,,,8,belowground AND phenology,
Seasonal asynchrony in above-and below-ground phenology in a temperate forest: Carbon allocation trade-off and plant-microbe interactions,https://link.springer.com/article/10.1007/s11104-023-06200-6,"… Based on previous knowledge and our findings, we propose a new paradigm relating 
seasonal root dynamics to leaf phenology and soil microbes (Fig. 4). Asynchrony in …","X Wang, J Pan, F Liu, H Chen, Z Jiao, S Liu, C Wang",Plant and Soil,2023,7,roots AND phenology,
Root:shoot balance controls flush phenology and carbohydrate translocation dynamics in citrus (Citrus x sinensis) trunk,https://onlinelibrary.wiley.com/doi/abs/10.1111/ppl.13601,"… Based on the observation of root growth impacts on shoot phenology, our first objective 
was … by slow root growth due to water deficit. We hypothesized that slow root growth would …","S Li, C Vincent",Physiologia Plantarum,2022,7,roots AND phenology,
"Carbon balance in grapevines (Vitis vinifera L.): effect of environment, cultivar and phenology on carbon gain, losses and allocation",https://onlinelibrary.wiley.com/doi/abs/10.1111/ajgw.12557,"… roots during the vine phenological cycle, and on biomass production. Carbon respiration 
varied during plant phenology … The integrated carbon respiratory loss in leaves, fruits and roots …","E Hernández‐Montes, JM Escalona…",Australian Journal of …,2022,7,roots AND phenology,
Soil fungal community of wheat Triticum aestivum rhizosphere at different phenological stages under a rain-fed management,https://www.sciencedirect.com/science/article/pii/S2452219822001355,"… (p < 0.05) between phenological statuses in the wheat field, … the wheat rhizosphere along 
the phenological stages. Pathotroph … phenological stage on the rhizosphere fungal community. …","M Levi, I Applebaum, C Sherman, T Doniger…",Rhizosphere,2022,7,belowground AND phenology,
Multifunctions of fine root phenology in vegetative and reproductive growth in mature beech forest ecosystems,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.3788,"… We hypothesized that fine root phenology has multiple functions in aboveground production 
… growth (phenological multifunctionality in fine roots). Fine root phenology can be expressed …","R Nakahata, M Naramoto, M Sato, H Mizunaga",Ecosphere,2021,6,roots AND phenology,
Responses of root phenology in ecotypes of Eriophorum vaginatum to transplantation and warming in the Arctic,https://www.sciencedirect.com/science/article/pii/S0048969721050014,"… assayed the root production, root phenology, and root depth … the fine root biomass/production 
and root phenology of E. … the fine root biomass/production and root phenology of the …","T Ma, T Parker, S Unger, J Gewirtzman…",Science of the Total …,2022,6,roots AND phenology,
"Effect of grafting on phenology, susceptibility to Phytophthora cinnamomi and hormone profile of chestnut",https://www.sciencedirect.com/science/article/pii/S0304423822008986,"… content of leaves and roots were rootstock-dependent, and … the hormone profile of leaves 
and roots of grafted trees, but … ABA and JA-Ile in roots was observed in resistant chestnuts. This …","Á Camisón, MÁ Martín, P Sánchez","Bel, V Flors… - Scientia …",2023,6,roots AND phenology,
Phenology-adjusted stress severity index to assess genotypic responses to terminal drought in field grown potato,https://www.mdpi.com/2073-4395/10/9/1298,"… Below ground phenology and soil water deficit in the percent of plant available soil moisture 
… Below ground phenology and soil water deficit in the percent of plant available soil moisture …","J Hoelle, F Asch, A Khan, M Bonierbale",Agronomy,2020,6,belowground AND phenology,
Shared quantitative trait loci underlying root biomass and phenology in wheat (Triticum aestivum L.),https://onlinelibrary.wiley.com/doi/abs/10.1111/jac.12700,"In this study, we investigated the genetic mapping of root biomass and root/shoot ratio. We 
utilized a large (n = 345) bi‐parental recombinant inbred line (RIL) population from the ‘Penny…","M Shaltouki‐Rizi, NE Smith…",Journal of Agronomy …,2024,5,roots AND phenology,
Soil moisture monitoring of the plant root zone by using phenology as context in remote sensing,https://ieeexplore.ieee.org/abstract/document/9186769/,"… Local direct root-zone soil moisture measurements cannot … In order to overcome these 
limitations, we propose a root-zone soil … In this aspect, the crops’ phenological stages and soil–air …","A Aktas, BB Üstündağ",IEEE Journal of Selected Topics in …,2020,5,roots AND phenology,
Above and belowground phenology in a heathland during future climate change,https://search.proquest.com/openview/c57d3e503155f2582259f963f181cff8/1?pq-origsite=gscholar&cbl=4998669,"… The below ground biomass … phenological patterns on the above – and below ground plant 
parts. This is interesting because there is a high probability for especially these phenological …","JK Pedersen, MF Arndal…",IOP Conference Series …,2009,5,belowground AND phenology,
"Benzylisoquinoline alkaloid content in goldenseal (Hydrastis canadensis L.) is influenced by phenological stage, reproductive status, and time-of-day",https://www.sciencedirect.com/science/article/pii/S1874390021000276,"… Our results indicate that belowground and aerial portions of goldenseal contain the 
greatest concentrations of BIAs at the flowering phenological stage, and in reproductive (versus …","GH Zuiderveen, EP Burkhart, JD Lambert",Phytochemistry Letters,2021,5,belowground AND phenology,
The hidden life of plants: fine root dynamics in northern ecosystems,https://www.diva-portal.org/smash/record.jsf?pid=diva2:954761,"… , despite warmer soil temperatures and aboveground phenological advances, adds … 
belowground plant responses, and that our understanding of factors driving belowground phenology …",G Blume-Werry - 2016 - diva-portal.org,,,5,belowground AND phenology,
The above–belowground functional space of tropical dry forest communities responds to local hydric habitats,https://onlinelibrary.wiley.com/doi/abs/10.1111/btp.13125,"… , we compared aboveground and belowground traits of … phenological category was included 
as an ordinal supplementary variable to graphically place the centroid of the phenological …","A Díaz‐Castellanos, JA Meave, F Vega‐Ramos…",Biotropica,2022,5,belowground AND phenology,
Potential link between ectomycorrhizal community composition and host tree phenology,https://www.mdpi.com/1999-4907/12/12/1719,"… Although tree phenology and seasonal variations of fungal communities have been widely 
studied, their interdependence—the above–below ground link between tree phenology and …","T Unuk Nahberger, R Damjanič, H Kraigher, T Grebenc",Forests,2021,5,belowground AND phenology,
"Above‐ and belowground interplay: Canopy CO2 uptake, carbon and nitrogen allocation and isotope fractionation along the plant‐ectomycorrhiza continuum",https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.14519,"… Moreover, they highlighted a phenology-dependent 15 N … beech forest, there is a phenological 
control on the C and N … growth and ECM during the different phenological stages; (ii) to …","A Scartazza, C Sbrana, E D'Andrea…","Plant, Cell & …",2023,5,belowground AND phenology,
"Root System, Phenology and Yield of Sunflower in Relation to Nitrogen and Phosphorus",https://www.degruyter.com/document/doi/10.1515/helia-2014-0025/html,"Sunflower is a crop of world interest that is acquiring economic importance in Mexico. The 
aim of this study was to determine the effect of nitrogen (N) and phosphorus (P) on the growth …","JA Salvador Escalante Estrada, MTR González…",Helia,2015,4,roots AND phenology,
"Above-and belowground phenology responses of subtropical Chinese fir (Cunninghamia lanceolata) to soil warming, precipitation exclusion and their interaction",https://www.sciencedirect.com/science/article/pii/S0048969724032947,"… Until now, it remains unknown how the interaction of temperature and moisture affects 
plant fine root phenology. Therefore, to investigate the response of fine root phenology to the …","Z Qu, C Lin, H Zhao, T Chen, X Yao, X Wang…",Science of The Total …,2024,4,roots AND phenology,
"Phenology, root growth and root carbohydrates of Lehmann lovegrass (Eragrostis lehmanniana) in response to grazing",https://repository.arizona.edu/handle/10150/557822,"… H alf of each 6.05 m by 6.05 mp lo t was used fo r phenology, root growth and. root carbohydrate 
studies* The other half was used con currently for nutritive study of Lehmann lovegrass …",AA Elmi - 1981 - repository.arizona.edu,,,4,roots AND phenology,
Divergent seasonal responses of above-and below-ground to environmental factors in alpine grassland,https://www.frontiersin.org/articles/10.3389/fpls.2022.1091441/full,"… We asked whether phenology and seasonal patterns were synchronized above and below 
ground in … To address these questions, we performed in-situ measurements of phenology and …","X Qin, X Nie, X Wang, J Hong, Y Yan",Frontiers in Plant Science,2023,4,belowground AND phenology,
"Root distribution according to phenology in plantain cultivars (Musa AAB), Ecuador",https://www.scielo.br/j/rbf/a/CXnjfGXD4cYKTQLXZcsy47S/,"… Hartón’, and root distribution was determined according to the phenology of plants (10, 20, … 
Root distribution was carried out in soil profiles between rows. The greatest root distribution …",LE Avellán,"Vásquez, ST Estévez-Chica… - Revista Brasileira de …",2021,3,roots AND phenology,
Using phenology to unravel differential soil water use and productivity in a semiarid savanna,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.4762,"… Different phenology and root structures of these plant types complicate how savanna 
primary productivity responds to changes in water availability. We tested the hypothesis that …","B Steiner, RL Scott, J Hu, N MacBean…",…,2024,3,roots AND phenology,
Temperature dependence of O2 respiration in mangrove leaves and roots: implications for seedling dispersal phenology,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.18513,"… The species-specific responses of R revealed in this study suggest that the seedling 
dispersal phenology and growth of the three mangrove species will respond differently to …","T Inoue, Y Akaji, S Baba, K Noguchi",New Phytologist,2023,3,roots AND phenology,
Soil temperature dominates forest spring phenology in China,https://www.sciencedirect.com/science/article/pii/S0168192324002569,"… Here, we used long-term satellite records to monitor forest spring phenology (start of the … 
phenology, probably due to the promotion of fine root growth and enhanced root uptake. …","Y Liu, X Liu, Z Fu, D Zhang, L Liu",Agricultural and Forest Meteorology,2024,3,roots AND phenology,
"Phenology, Nitrogen Status, and Yield of Red Clover (Trifolium pretense L.) Affected by Application of Vitamin B12, Humic Acid, and Enriched Biochar",https://www.mdpi.com/2073-4395/13/12/2885,"… The results of the current study support the hypothesis that the presence of vitamin B12 
can positively change the phenology, nitrogen yield, and biomass of roots and shoots. More …","D Saadat, A Siller, M Hashemi",Agronomy,2023,3,roots AND phenology,
Soil freeze–thaw cycles affect spring phenology by changing phenological sensitivity in the Northern Hemisphere,https://www.sciencedirect.com/science/article/pii/S0048969724000974,"… (SFT) cycles on vegetation phenology and the underlying … on vegetation phenology mainly 
by altering the phenological … soil, the changes in phenological sensitivity in the grassland …","T Li, B Fu, Y Lü, C Du, Z Zhao, F Wang, G Gao…",Science of the Total …,2024,3,roots AND phenology,
"Bringing the underground to the surface: Climate change stressors negatively affect plant growth, with contrasting above and belowground physiological responses",https://pmc.ncbi.nlm.nih.gov/articles/PMC9546244/,"… Beyond responses of plant physiology and metabolism, experiments demonstrate that 
above versus belowground phenology can respond asynchronously to climate change. For …",MA Pastore,"Plant, Cell & Environment",2022,3,belowground AND phenology,
Phenotyping methods and phenological stages to quantify the root system of common bean,https://www.scielo.br/j/pab/a/Ypscvxw5YL5rSrQt4SLsv6w/,"… to evaluate root phenotyping methods and the ideal phenological stage to quantify the root 
… , the Shovelomics and WinRHIZO root phenotyping methods, and the V 4-4 , R 6 , and R 8 …","PH Cerutti, RC Melo, LTS Carbonari…",Pesquisa …,2023,2,roots AND phenology,
"Plant phenology: definition, history, and response to environmental factors",https://ejbo.journals.ekb.eg/article_382260.html,"… phenology and responses to environmental factors. This will assist growers in matching plant 
phenology … in several phenological changes in shoot or root systems. Drought affects plant …","NH Alsubhi, SM Alzahrani",Egyptian Journal of Botany,2024,2,roots AND phenology,
Is above-and belowground phenology of Eriophorum vaginatum in sync in a peatland underlain by permafrost?,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1084069,"… The phenology of plants in northern ecosystems is currently … phenology of roots is still poorly 
understood. The aim of this report was to investigate if above- and belowground phenology …",A Ögren - 2017 - diva-portal.org,,,2,belowground AND phenology,
Different spatial structure of plant‐associated fungal communities above‐and belowground,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.10065,"… We did not detect any effect of autumn phenology and oak spatial connectivity on foliar fungal 
richness, evenness, community composition, and relative abundance of functional guilds (…","M Faticov, A Abdelfattah, P Hambäck…",Ecology and …,2023,2,belowground AND phenology,
Ectomycorrhizal fungal community response to disturbance and host phenology,https://era.library.ualberta.ca/items/258499bc-94a5-422e-b29a-585679d17e10,"… by ectomycorrhizas across phenological stages irrespective of the … of belowground fungi. 
Moreover, differences in potential enzyme activity of exploration types throughout phenological …",SF Hupperts - 2016 - era.library.ualberta.ca,,,2,belowground AND phenology,
Vertical Arthropod Dynamics across Organic Matter Fractions in Relation to Microclimate and Plant Phenology,https://www.intechopen.com/chapters/74612,"… factor influencing belowground dynamics including microclimate and decomposer arthropod 
communities. This study addresses the effect of individual plant species on belowground …",MF Barberena,"Arias, E Cuevas - Arthropods-Are They Beneficial …",2020,2,belowground AND phenology,
Shifts in Plant Phenology Significantly Affect the Carbon Allocation in Different Plant Organs,https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.70024,"… To determine how changes in phenology affect root–stem ratio under different climate 
conditions, we conducted the path analysis in the four climatic regions, including dry-warm climate…","P Ren, P Li, X Zhou, Z Liu, J Tang, C Zhang…",Ecology …,2024,1,roots AND phenology,
Internal physiological drivers of leaf development in trees: Understanding the relationship between non‐structural carbohydrates and leaf phenology,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.14694,"… 2H labelled sucrose) are proposed to be injected (Experiment 2) into tree roots before critical 
phenological stages, respectively. Data from different observation networks representing …","Y Luo, C Zohner, TW Crowther, J Feng…",Functional …,2024,1,roots AND phenology,
Drought affects the synchrony of aboveground and belowground phenology in tropical potato,https://onlinelibrary.wiley.com/doi/abs/10.1111/jac.12675,"… phenological stages are lacking. In this study, we investigated the synchrony of above- and 
belowground phenological … of drought stress at different phenological stages. Additionally, …","J Hoelle, A Khan, F Asch",Journal of Agronomy and Crop …,2024,1,belowground AND phenology,
Seasonal shifts in plant diversity effects on aboveground-belowground phenological synchrony,https://www.authorea.com/doi/pdf/10.22541/au.171388228.83690701,"… of aboveground plant traits and belowground activity? We expect … aboveground and 
belowground phenological patterns? We … - and belowground plant-derived inputs and high …","AEB Asato, A Ebeling, C Wirth, N Eisenhauer",Authorea Preprints,2024,1,belowground AND phenology,
Mycorrhizal status regulates plant phenological mismatch caused by warming,https://www.sciencedirect.com/science/article/pii/S0048969724052677,"… response of plant above- and below-ground phenology to climate change is still rarely … 
We compared the responses of above- and below-ground phenology of OM and FM plants …","W Wei, Z Shi, M Yuan, S Yang, J Gao",Science of The Total Environment,2024,1,belowground AND phenology,
Hidden from the harsh: Belowground preformation prior to winter determines life history strategy of a temperate perennial herb,https://www.sciencedirect.com/science/article/pii/S0367253023001767,"… stages occuring belowground and its relation with annual aboveground phenology in a … 
Overall, our findings advance the current understanding of the belowground phenology, …","K Rashid, S Rashid, T Islam, AH Ganie, IA Nawchoo…",Flora,2023,1,belowground AND phenology,
Effects of warming and rainfall variation on grass phenology and regenerative responses in mesic grassland,https://www.sciencedirect.com/science/article/pii/S0254629924005398,"… belowground bud bank densities and the phenological … altered belowground bud bank 
densities and the phenological … the phenological events of these species and their belowground …","TA Ojo, K Kirkman, M Tedder",South African Journal of Botany,2024,1,belowground AND phenology,
"Carbon allocation dynamics of Spartina alterniflora in Georgia saltmarsh, USA",https://www.sciencedirect.com/science/article/pii/S0304377024000731,"… We developed a phenology-based growth model(PG model) … - and below-ground biomass 
across three phenological periods… 82 % of photosynthate to below-ground biomass during the …","Y Jung, A Burd",Aquatic Botany,2025,1,belowground AND phenology,
"COMPARATIVE PHENOLOGY, HABITAT CHARACTERISTICS AND DISTRIBUTION PATTERNS OF STRIGA ASPERA (WILLD.) BENTH. AND S …",https://www.researchgate.net/profile/Emmanuel-Aigbokhan/publication/282612414_COMPARATIVE_PHENOLOGY_HABITAT_CHARACTERISTICS_AND_DISTRIBUTION_PATTERNS_OF_STRIGA_ASPERA_WILLD_BENTH_AND_S_HERMONTHICA_DEL_BENTH_OROBANCHACEAE_IN_NIGERIA/links/5614045808ae983c1b40393f/COMPARATIVE-PHENOLOGY-HABITAT-CHARACTERISTICS-AND-DISTRIBUTION-PATTERNS-OF-STRIGA-ASPERA-WILLD-BENTH-AND-S-HERMONTHICA-DEL-BENTH-OROBANCHACEAE-IN-NIGERIA.pdf,"… Synchronous flowering may be hindered if phenological factors controlling the flowering … 
AND METHODS Phenology This study was done by investigating below ground and above …",EI Aigbokhan,Nigerian Journal of Botany,2015,1,belowground AND phenology,
Data from: Fungal volatiles influence plant defence against aboveground and belowground herbivory,https://library.wur.nl/WebQuery/wurpubs/586103,"… to insect herbivory, and on plant phenology. We exposed roots of … Additionally, we assessed 
the effects on plant phenology by … to above- and belowground herbivory. Performance of P. …","K Moisan, M Aragón, G Gort, M Dicke…",Dryad Digital …,2020,1,belowground AND phenology,
Influence of springtime phenology on the ratio of soil respiration to total ecosystem respiration in a mixed temperate forest,https://biblio.ugent.be/publication/1995691,"… Phenological data were obtained from field observations and … showed that springtime 
phenological events do influence the … from above- to belowground. This hypothesized allocation …","J Bloemen, K Steppe, E Davidson…",24th New Phytologist …,2010,1,belowground AND phenology,
"Belowground bud bank dynamics of native, perennial grasses and interactions with fire in the northern Great Plains",https://search.proquest.com/openview/0853594d8b9de41be3c91610bdd6ee88/1?pq-origsite=gscholar&cbl=18750,"… Chapter 4, “Phenology of perennial native grass axillary buds in the northern mixed-grass … 
Therefore, their belowground bud bank phenology and dynamics are likely to differ as well. …",ML Russell - 2013 - search.proquest.com,,,1,belowground AND phenology,
From Roots to Leaves: Tree Growth Phenology in Forest Ecosystems,https://link.springer.com/article/10.1007/s40725-025-00245-9,"… role of roots in tree physiology and ecosystem dynamics, our understanding of root phenology 
remains limited, primarily due to the inherent difficulties in monitoring root growth. The …","R Silvestro, A Deslauriers, P Prislan…",Current Forestry …,2025,0,roots AND phenology,
Effects of warming on fine root phenology of forests: a review,https://www.plant-ecology.com/EN/10.17521/cjpe.2022.0326?refererToken=,"… However, the response of fine root phenology to climate … root phenology in forests under 
global warming, and aimed to provide references for the research on below-ground phenology, …","XY CHEN, C WU, JX HUANG, DC XIONG - Chinese Journal of Plant … - plant-ecology.com",,,0,roots AND phenology,
